;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
1679;136 000 км;Ford Focus III;550 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1680;240 000 км;Ford Focus I Рестайлинг;235 000 ₽;2004;механика;седан;передний;серебристый;1.8 л/115л.с./Бензин
1681;116 000 км;Ford Focus III;550 000 ₽;2013;робот;хэтчбек 5 дв.;передний;чёрный;2.0 л/150л.с./Бензин
1682;132 000 км;Ford Focus II;340 000 ₽;2007;автомат;седан;передний;красный;2.0 л/145л.с./Бензин
1683;76 900 км;Ford Focus III;605 000 ₽;2012;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
1684;171 300 км;Ford Focus III;380 000 ₽;2011;механика;седан;передний;белый;1.6 л/105л.с./Бензин
1685;117 000 км;Ford Focus III;491 990 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/85л.с./Бензин
1686;89 720 км;Ford Focus II Рестайлинг;362 000 ₽;2008;механика;седан;передний;чёрный;1.8 л/116л.с./Дизель
1687;150 000 км;Ford Focus III;479 990 ₽;2011;механика;седан;передний;серебристый;1.6 л/105л.с./Бензин
1688;136 000 км;Ford Focus III;520 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1689;182 925 км;Ford Focus II Рестайлинг;365 000 ₽;2009;механика;универсал 5 дв.;передний;синий;1.8 л/125л.с./Бензин
1690;260 000 км;Ford Focus I Рестайлинг;148 000 ₽;2003;механика;хэтчбек 5 дв.;передний;голубой;1.6 л/98л.с./Бензин
1691;142 191 км;Ford Focus II Рестайлинг;285 000 ₽;2008;механика;хэтчбек 3 дв.;передний;синий;1.4 л/80л.с./Бензин
1692;209 000 км;Ford Focus II;300 000 ₽;2007;механика;хэтчбек 5 дв.;передний;красный;1.6 л/100л.с./Бензин
1693;180 000 км;Ford Focus I Рестайлинг;145 000 ₽;2002;автомат;хэтчбек 3 дв.;передний;жёлтый;2.0 л/131л.с./Бензин
1694;137 000 км;Ford Focus II Рестайлинг;380 000 ₽;2010;механика;седан;передний;фиолетовый;1.8 л/125л.с./Бензин
1695;179 347 км;Ford Focus II;379 000 ₽;2007;механика;хэтчбек 5 дв.;передний;синий;1.8 л/116л.с./Дизель
1696;204 500 км;Ford Focus II Рестайлинг;390 000 ₽;2008;механика;универсал 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
1697;186 000 км;Ford Focus III;680 000 ₽;2012;механика;универсал 5 дв.;передний;серый;2.0 л/150л.с./Бензин
1698;305 000 км;Ford Focus II Рестайлинг;290 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/115л.с./Бензин
1699;198 903 км;Ford Focus I;129 000 ₽;1999;автомат;седан;передний;красный;2.0 л/131л.с./Бензин
1700;190 000 км;Ford Focus I Рестайлинг;175 000 ₽;2004;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/98л.с./Бензин
1701;126 000 км;Ford Focus III;510 000 ₽;2012;механика;универсал 5 дв.;передний;синий;1.6 л/105л.с./Бензин
1702;180 000 км;Ford Focus III;490 000 ₽;2012;робот;хэтчбек 5 дв.;передний;пурпурный;1.6 л/105л.с./Бензин
1703;185 000 км;Ford Focus II Рестайлинг;380 000 ₽;2008;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
1704;183 000 км;Ford Focus II;400 000 ₽;2007;механика;хэтчбек 3 дв.;передний;чёрный;1.8 л/125л.с./Бензин
1705;121 000 км;Ford Focus II;450 000 ₽;2006;механика;хэтчбек 5 дв.;передний;оранжевый;2.0 л/145л.с./Бензин
1706;161 000 км;Ford Focus II;297 000 ₽;2005;механика;универсал 5 дв.;передний;синий;1.6 л/115л.с./Бензин
1707;155 056 км;Ford Focus II Рестайлинг;398 000 ₽;2009;автомат;седан;передний;чёрный;2.0 л/145л.с./Бензин
1708;266 420 км;Ford Focus II;250 000 ₽;2005;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
1709;116 340 км;Ford Focus III;615 000 ₽;2013;робот;универсал 5 дв.;передний;чёрный;2.0 л/150л.с./Бензин
1710;122 000 км;Ford Focus III;615 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1711;142 832 км;Ford Focus III;585 000 ₽;2014;робот;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1712;161 000 км;Ford Focus II Рестайлинг;435 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
1713;128 000 км;Ford Focus III;565 000 ₽;2013;робот;седан;передний;серый;1.6 л/105л.с./Бензин
1714;217 000 км;Ford Focus II Рестайлинг;320 000 ₽;2009;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/115л.с./Бензин
1715;181 561 км;Ford Focus II Рестайлинг;379 878 ₽;2010;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
1716;239 764 км;Ford Focus II;260 000 ₽;2006;механика;универсал 5 дв.;передний;серебристый;1.6 л/115л.с./Бензин
1717;112 000 км;Ford Focus II Рестайлинг;420 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.8 л/125л.с./Бензин
1718;172 500 км;Ford Focus III;495 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1719;143 700 км;Ford Focus III;499 000 ₽;2011;робот;седан;передний;серый;1.6 л/125л.с./Бензин
1720;213 000 км;Ford Focus III;430 000 ₽;2011;механика;хэтчбек 5 дв.;передний;коричневый;2.0 л/150л.с./Бензин
1721;174 000 км;Ford Focus I Рестайлинг;200 000 ₽;2005;механика;хэтчбек 5 дв.;передний;красный;1.6 л/98л.с./Бензин
1722;267 000 км;Ford Focus II Рестайлинг;400 000 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.8 л/125л.с./Бензин
1723;155 500 км;Ford Focus III Рестайлинг;800 000 ₽;2017;робот;седан;передний;белый;1.6 л/125л.с./Бензин
1724;243 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;седан;передний;фиолетовый;1.8 л/125л.с./Бензин
1725;137 000 км;Ford Focus II Рестайлинг;325 000 ₽;2008;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
1726;193 500 км;Ford Focus II;420 000 ₽;2007;автомат;седан;передний;серый;2.0 л/145л.с./Бензин
1727;168 000 км;Ford Focus I Рестайлинг;265 000 ₽;2004;механика;универсал 5 дв.;передний;красный;1.6 л/98л.с./Бензин
1728;117 000 км;Ford Focus II Рестайлинг;380 000 ₽;2009;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
1729;300 000 км;Ford Focus II;235 000 ₽;2005;механика;универсал 5 дв.;передний;серебристый;1.6 л/115л.с./Бензин
1730;250 000 км;Ford Focus I Рестайлинг;100 000 ₽;2004;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/98л.с./Бензин
1731;194 487 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
1732;150 000 км;Ford Focus II Рестайлинг;297 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
1733;147 000 км;Ford Focus III;480 000 ₽;2013;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1734;220 000 км;Ford Focus II Рестайлинг;290 000 ₽;2007;механика;универсал 5 дв.;передний;чёрный;1.8 л/116л.с./Дизель
1735;171 200 км;Ford Focus III Рестайлинг;740 000 ₽;2017;робот;универсал 5 дв.;передний;серебристый;1.6 л/125л.с./Бензин
1736;109 000 км;Ford Focus II Рестайлинг;485 000 ₽;2011;автомат;седан;передний;чёрный;1.6 л/100л.с./Бензин
1737;331 215 км;Ford Focus II;430 000 ₽;2005;механика;седан;передний;серебристый;2.0 л/145л.с./Бензин
1738;175 000 км;Ford Focus II Рестайлинг;390 000 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
1739;180 000 км;Ford Focus I;125 000 ₽;2000;механика;седан;передний;синий;2.0 л/131л.с./Бензин
1740;100 000 км;Ford Focus III;534 899 ₽;2013;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
